blast_temp_C,coke_rate_kg_per_t,pci_rate_kg_per_t,air_flow_Nm3_min,top_gas_pressure_bar,moisture_g_Nm3,ore_grade_pct,burden_index,hot_metal_tpd,fuel_rate_kg_per_t,efficiency_score
1031.1,304.9,158.6,5807,3.14,15.9,58.3,0.879,7082,626,46.1
1232.8,467.8,163.5,4176,2.91,5.4,64.3,0.898,7719,593.8,56.2
1156.2,430.8,137.4,4423,2.38,22.4,67.7,0.562,6327,750,33
1109.5,524.7,197.4,4265,3.26,9.3,65.7,0.662,6944,750,41
954.6,341.1,105.9,3842,1.78,11.3,60.5,0.553,6503,636.6,34.5
954.6,501,157.7,5685,2.02,8.6,58.7,0.984,6923,750,28
920.3,498,181.1,3997,2.48,20.6,64.2,0.841,6529,750,25.9
1203.2,331.8,206.6,4736,1.62,7.9,58,0.51,6430,710.9,36
1110.4,399.6,203.7,3720,1.69,12.7,65.9,0.738,7003,747.5,34.3
1147.8,342.5,151.2,5392,2.29,18.6,60.4,0.632,6411,740.4,29.2
907.2,363.7,170,5323,3.39,10,61,0.77,7222,669,44.4
1239.5,365.8,135.2,3889,3.32,18.4,61.4,0.589,6913,716.5,44.9
1191.4,439.1,145.5,5045,2.43,15.3,65.6,0.528,6480,730.6,34.6
974.3,402.9,206.9,5112,1.78,30.8,60.7,0.662,6111,750,21.4
963.6,536.9,210.3,4688,1.86,28.8,60.8,0.648,5590,750,17.4
964.2,331.6,205.4,4802,2.26,34.8,63.4,0.858,6962,750,25.3
1006.5,543.4,99.4,4723,1.92,20.9,62.6,0.737,5898,750,22.6
1083.7,357.7,199,3246,1.67,22.3,67.6,0.646,6407,750,24.3
1051.2,493.2,212.8,5011,2.85,33.4,60.6,0.785,5907,750,27.2
1001.9,384.7,130.6,4409,2.66,17,58.9,0.536,5503,750,23.4
1114.1,335.8,152.6,4315,2.08,21.7,63.4,0.831,7302,690.4,42.1
948.8,514.5,189.1,5580,3.06,16.4,59.8,0.574,6153,750,28.5
1002.3,377.2,158.7,3070,3.05,21.4,62.1,0.64,6353,750,28.4
1028.2,464.7,219.1,3754,2.48,7.4,59.9,0.641,6158,750,29.6
1059.6,441.6,143.8,3364,1.69,28.5,66.8,0.733,6343,750,25.3
1174.8,417.9,180,3106,3.34,34.6,61.3,0.977,6702,750,32.5
969.9,424,191,3827,2.84,7,65.7,0.662,6849,677.2,42.4
1080,483.1,149.2,5965,1.99,29,67.5,0.641,6434,750,26.5
1107.3,321.9,200,3811,2.72,12.3,67.4,0.584,7616,658.7,48
916.3,467,156.5,4991,2.31,10.9,63.2,0.696,6293,750,23.6
1112.6,524,137.6,3355,2.77,25.8,67.8,0.591,6408,750,31.7
959.7,314.4,95.1,4806,2.45,6.3,64.6,0.569,6658,489.5,53.8
922.8,335.2,135.1,5953,2.47,18.9,59.3,0.929,7567,693.4,32.7
1232.1,479.2,182.8,3876,2.97,5,66.9,0.526,6296,672.6,44.6
1238,409.3,209,5544,2.73,21.6,62.7,0.855,7413,750,39.5
1182.9,400.9,115.2,5993,1.66,18.9,59.5,0.601,6217,750,28.9
1006.6,334.2,129.7,4766,1.63,32.5,65.9,0.506,6232,750,19.8
934.2,426.7,101.6,3928,2.11,26.6,64.2,0.898,6564,750,21
1139.5,331.6,176.7,5021,2.36,8.8,66.8,0.851,8107,520.1,62.7
1054.1,419.2,214.4,5535,2.05,15.6,66.3,0.667,6579,750,28.3
942.7,490.9,169.7,3514,2.8,32.9,61.2,0.54,5378,750,21.3
1073.3,364.6,166.4,4358,1.89,26.8,60.6,0.68,6356,750,26.7
912,420.2,157.5,3958,2.91,22.8,65.3,0.591,6196,750,22.7
1218.3,548,92.4,3850,3.05,21.8,63.7,0.966,6722,750,37.7
990.6,471.7,182.1,5582,1.75,16.9,58.7,0.765,6145,750,24.1
1131.9,510.3,164.3,4265,2.8,22.6,59.8,0.982,6757,750,32.2
1009.1,403.7,172.6,4017,3.42,28.1,59.5,0.676,6268,750,33.8
1082,492,205.8,4811,1.89,8.8,63.9,0.778,6951,750,30.3
1091.3,310.1,189.8,3658,3.32,34.1,58.9,0.595,6328,750,33.4
964.7,330.7,189.3,3690,2.71,12.2,60.1,0.904,7472,648.8,45.6
1239.4,350.8,209.8,4561,2.68,18.4,63.5,0.521,6573,750,34.9
1171.3,400.5,218.6,4228,1.6,5.7,59.3,0.848,7587,714.6,39.7
1228.8,511.4,161.4,3885,3,21.5,60.5,0.696,6271,750,38.2
1213.2,386.6,95.2,3162,2.46,16.5,67.1,0.789,7042,609.7,50
1109.3,463.7,144.3,4562,2.94,12.5,65,0.796,7671,702.7,45.4
1222.7,477.3,190.3,5450,3.12,34.6,61.1,0.855,6511,750,31.9
931,446.5,83.9,5554,2.55,17.8,66.8,0.602,6342,750,26.4
968.6,389.3,88,3706,2.03,17.4,60.5,0.766,6235,708.4,27
915.8,444.3,89.4,4799,1.78,18.9,63.9,0.713,6245,750,21.8
1013.9,385.6,182.3,5568,1.82,8.5,61.7,0.641,7116,712.6,31.9
1036,321,150.2,4226,3.23,16.8,65.5,0.748,7346,654.9,47.5
995,548.2,131.6,5796,1.75,15.1,61.7,0.976,6754,750,25.3
1190.1,331.8,94.8,5709,2.27,19,60.5,0.974,7491,586.4,48.3
1024.9,318.1,182.5,3624,2.17,30.7,64.1,0.639,6775,750,26.7
998.3,519.6,124.9,3777,3.23,10.8,65.5,0.942,7001,706.1,42.4
1089.9,375.5,117.1,3541,2.46,23.2,63.4,0.938,6966,713.6,33.4
949.3,462.6,171.3,3588,3.49,6.1,65.2,0.625,6593,669.8,40.9
1180.8,382.3,158.3,5724,2.97,14.5,62.2,0.799,7269,645,53.3
926.1,397.9,130.7,5793,3.2,19.2,66,0.935,7699,694.5,42.1
1245.4,365.5,169.8,3156,1.7,7.2,63.9,0.757,7335,622.6,49.2
1170.3,385.8,118,4781,2.01,21.3,60,0.685,6863,750,32.4
969.6,402.7,191.3,4693,1.77,14.3,66.9,0.825,7233,746.1,27.1
901.9,480.1,112.1,4172,2.43,34.8,66.4,0.586,5757,750,23.5
1185.4,427.9,102.2,4895,2.94,23.9,67.6,0.581,6881,750,38.4
1147.4,535.9,189.5,5842,1.84,12.3,63.7,0.916,6982,750,35.9
1155.2,310.5,179.1,3511,1.76,8.1,64.8,0.521,6761,588.1,48.3
1169.9,425.8,105.6,3361,2.73,6.2,66.6,0.902,7604,516.2,62.5
925.9,446.1,96.3,3100,1.96,7.7,58.5,0.645,5782,725,25
1025.5,530,197.4,,2.46,25.4,67.1,0.742,6381,750,29.4
940.6,312.3,188.7,4013,1.6,30.6,60.7,0.772,6561,750,22.8
1202.1,443.4,125.8,4292,2.86,9.7,58.6,0.884,6982,647.9,46.4
1118.2,513.4,172.1,4510,2.58,17.1,60.4,0.942,7211,750,36.1
1015.8,360.5,97.4,5273,2.79,15.6,63.9,0.902,7682,609.2,47.3
922.2,519.1,151,4176,2.05,24.3,58.5,0.786,5533,750,16.7
1008.8,304.8,82.6,3992,2.06,10.5,58,0.674,6424,565.8,46.7
1013.8,483.1,134.8,5481,3.1,33.6,64.4,0.763,6115,750,29.7
