blast_temp_C,coke_rate_kg_per_t,pci_rate_kg_per_t,air_flow_Nm3_min,top_gas_pressure_bar,moisture_g_Nm3,ore_grade_pct,burden_index,hot_metal_tpd,fuel_rate_kg_per_t,efficiency_score
1031.1,304.9,158.6,5807.0,3.14,15.9,58.3,0.879,7082,626.0,46.1
1232.8,467.8,163.5,4176.0,2.91,5.4,64.3,0.898,7719,593.8,56.2
1156.2,430.8,137.4,4423.0,2.38,22.4,67.7,0.562,6327,750.0,33.0
1109.5,524.7,197.4,4265.0,3.26,9.3,65.7,0.662,6944,750.0,41.0
954.6,341.1,105.9,3842.0,1.78,11.3,60.5,0.553,6503,636.6,34.5
954.6,501.0,157.7,5685.0,2.02,8.6,58.7,0.984,6923,750.0,28.0
920.3,498.0,181.1,3997.0,2.48,20.6,64.2,0.841,6529,750.0,25.9
1203.2,331.8,206.6,4736.0,1.62,7.9,58.0,0.51,6430,710.9,36.0
1110.4,399.6,203.7,3720.0,1.69,12.7,65.9,0.738,7003,747.5,34.3
1147.8,342.5,151.2,5392.0,2.29,18.6,60.4,0.632,6411,740.4,29.2
907.2,363.7,170.0,5323.0,3.39,10.0,61.0,0.77,7222,669.0,44.4
1239.5,365.8,135.2,3889.0,3.32,18.4,61.4,0.589,6913,716.5,44.9
1191.4,439.1,145.5,5045.0,2.43,15.3,65.6,0.528,6480,730.6,34.6
974.3,402.9,206.9,5112.0,1.78,30.8,60.7,0.662,6111,750.0,21.4
963.6,536.9,210.3,4688.0,1.86,28.8,60.8,0.648,5590,750.0,17.4
964.2,331.6,205.4,4802.0,2.26,34.8,63.4,0.858,6962,750.0,25.3
1006.5,543.4,99.4,4723.0,1.92,20.9,62.6,0.737,5898,750.0,22.6
1083.7,357.7,199.0,3246.0,1.67,22.3,67.6,0.646,6407,750.0,24.3
1051.2,493.2,212.8,5011.0,2.85,33.4,60.6,0.785,5907,750.0,27.2
1001.9,384.7,130.6,4409.0,2.66,17.0,58.9,0.536,5503,750.0,23.4
1114.1,335.8,152.6,4315.0,2.08,21.7,63.4,0.831,7302,690.4,42.1
948.8,514.5,189.1,5580.0,3.06,16.4,59.8,0.574,6153,750.0,28.5
1002.3,377.2,158.7,3070.0,3.05,21.4,62.1,0.64,6353,750.0,28.4
1028.2,464.7,219.1,3754.0,2.48,7.4,59.9,0.641,6158,750.0,29.6
1059.6,441.6,143.8,3364.0,1.69,28.5,66.8,0.733,6343,750.0,25.3
1174.8,417.9,180.0,3106.0,3.34,34.6,61.3,0.977,6702,750.0,32.5
969.9,424.0,191.0,3827.0,2.84,7.0,65.7,0.662,6849,677.2,42.4
1080.0,483.1,149.2,5965.0,1.99,29.0,67.5,0.641,6434,750.0,26.5
